Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,From Hours In Effect,To Hours In Effect,Vehicle Color,Vehicle Year,Meter Number,Violation Post Code,Violation Description
16424MJ,NY,COM,12/15/2016,21,VAN,ME/BE,1111A,NY,1100A,1230A,GY,2016,,B 77,21-No Parking (street clean)
HKE6426,NY,OMS,12/16/2016,36,SUBN,CHRYS,1045A,QN,,,BK,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
EGM7093,NY,PAS,12/29/2016,24,4DSD,BMW,0228P,Q,,,GY,2016,,M 42,24-No Parking (exc auth veh)
PYR4017,GA,PAS,12/15/2016,36,MP,BMW,0103P,BK,,,BLK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
DL395Z,NY,PAS,12/15/2016,36,SUBN,CHRYS,1209P,QN,,,WH,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
13663MD,NY,COM,12/6/2016,14,DELV,KENWO,0901A,NY,,,RD,2013,,99 6,14-No Standing
GYB8121,NY,PAS,12/6/2016,20,SDN,DODGE,0643P,K,ALL,ALL,GRAY,2015,-,,
57518MH,NY,COM,12/17/2016,71,VAN,DODGE,0105P,NY,,,WH,2014,,48,71A-Insp Sticker Expired (NYS)
EYC9422,NY,PAS,12/20/2016,36,SUBN,FORD,1110A,ST,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
EXR1548,NY,PAS,12/5/2016,38,4DSD,NISSA,0558P,Q,0900A,0700P,BK,2015,,O 41,38-Failure to Display Muni Rec
T709941C,NY,OMT,12/3/2016,40,SUBN,,1218A,K,ALL,ALL,GREY,2013,-,,
HFP6721,NY,PAS,12/14/2016,14,4DSD,SUBAR,0636A,Q,,,BK,2017,,B 42,14-No Standing
HCT1717,NY,PAS,12/28/2016,14,4DSD,DODGE,0510P,NY,0300A,0700P,BK,2015,,CC1,14-No Standing
HCD2327,NY,PAS,12/10/2016,71,VAN,FORD,0835A,NY,,,GY,2013,,19 7,71A-Insp Sticker Expired (NYS)
GMB9325,NY,PAS,12/6/2016,36,SUBN,NISSA,0910A,QN,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
GHJ6019,NY,PAS,12/15/2016,21,SUBN,TOYOT,0314A,K,0200A,0500A,BK,2016,,W 31,21-No Parking (street clean)
HFB6557,NY,PAS,12/12/2016,36,SUBN,NISSA,0144P,BK,,,PR,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
FYD9014,NY,PAS,12/5/2016,7,2DSD,SMART,0911P,QN,,,GY,2013,,,FAILURE TO STOP AT RED LIGHT
HEX3442,99,PAS,12/16/2016,71,,CHEVR,0151A,,ALL,ALL,BLK,2012,-,,
HKE4331,NY,PAS,12/20/2016,21,4DSD,ME/BE,0813A,BX,0800A,0930A,BK,2015,,H 21,21-No Parking (street clean)
T688268C,NY,OMT,12/3/2016,38,4DSD,TOYOT,0317P,NY,0800A,1200A,BK,2016,,99 6,38-Failure to Display Muni Rec
GTR7135,NY,PAS,12/5/2016,71,4DSD,ME/BE,0152P,Q,,,BLACK,2015,,43 4,71A-Insp Sticker Expired (NYS)
HKX1628,NY,PAS,12/10/2016,38,4DSD,NISSA,1003A,BX,0830A,0700P,GY,2016,,06 2,38-Failure to Display Muni Rec
GWG5992,NY,PAS,12/2/2016,38,SUBN,TOYOT,1140A,K,0800A,0700P,BK,2015,,01 3,38-Failure to Display Muni Rec
FZD5154,NY,PAS,12/12/2016,19,4DSD,HONDA,0109P,Q,,,WH,2013,,Q 42,19-No Stand (bus stop)
